canonical_name,lat,lng,elevation_ft
Durham city,35.97806,-78.8995,382.8
Grand Forks city,47.9196,-97.08733,832.9
New York City,40.7128,-74.006,43.1
Pittsford village,43.09049,-77.51657,500.8
Spokane city,47.66694,-117.43332,1905.6
Tempe city,33.38841,-111.93178,1176.1
Anaheim city,33.8555,-117.75866,614.7
Clovis city,36.82897,-119.68492,370.5
Costa Mesa city,33.66591,-117.91234,71.8
Encinitas city,33.05063,-117.26362,241.8
Fallbrook CDP,33.37423,-117.22038,727.9
Folsom city,38.6666,-121.14163,324.3
Fountain Valley city,33.71058,-117.95113,33.8
Lakeside CDP,35.23467,-119.08286,330.3
Menlo Park city,37.47973,-122.14805,9.9
Mission Viejo city,33.60934,-117.65647,606.1
Murrieta city,33.57213,-117.19044,1221.4
Orange city,33.78697,-117.86127,171.1
Pasadena city,34.1606,-118.13795,921.2
Santa Clarita city,34.4165,-118.50069,1306.7
Thousand Oaks city,34.19329,-118.87423,782.0
Aurora city,39.70363,-104.72009,5585.2
Edwards CDP,39.61182,-106.6197,7947.9
Golden city,39.74248,-105.21056,5768.5
Greenwich CDP,41.02777,-73.62693,100.9
Wilmington city,39.73565,-75.5321,4.9
Clearwater city,27.97942,-82.77126,65.4
Sarasota city,27.33826,-82.54372,17.5
St. Petersburg city,27.76273,-82.64413,36.5
Winter Garden city,28.54122,-81.59124,98.0
Gainesville city,34.2901,-83.82911,1218.7
Sun Valley city,43.68385,-114.3342,6064.5
Baton Rouge city,30.44044,-91.13317,46.5
Potomac CDP,39.01333,-77.19358,307.7
Bethel CDP,44.4038,-70.78635,738.2
Grand Rapids city,42.96116,-85.65557,747.3
Eagan city,44.81522,-93.16282,820.2
Grand Rapids city,47.23852,-93.53257,1297.9
Lakeville city,44.67613,-93.25174,1091.0
Mankato city,44.17112,-93.97638,1004.9
Minnetonka city,44.93256,-93.4567,953.9
Greensboro city,36.09485,-79.82362,822.9
Ridgewood village,40.98159,-74.11351,99.8
Albuquerque city,35.10478,-106.64681,4962.9
Eugene city,44.05685,-123.11902,413.7
Hershey CDP,40.28001,-76.64433,399.8
Lancaster city,40.04206,-76.30099,380.8
Arlington city,32.70071,-97.12469,653.7
Little Cypress CDP,30.17808,-93.75529,17.7
Midland city,32.02464,-102.11347,2804.4
Arlington CDP,38.87834,-77.1007,265.5
Fairfax city,38.85318,-77.29903,376.5
Springfield CDP,38.78157,-77.18392,244.6
Winthrop town,48.47157,-120.17908,1753.8
Huntsville city,34.69772,-86.67667,640.1
Fayetteville city,36.07146,-94.16656,1375.3
Little Rock city,34.72539,-92.35856,278.7
Chandler city,33.28276,-111.85182,1207.1
Arcadia city,34.13269,-118.03635,444.1
Camarillo city,34.22182,-119.03215,157.9
Chula Vista city,32.62767,-117.01517,437.6
Dublin city,37.71614,-121.89623,360.4
Eastvale city,33.96327,-117.58237,619.5
Inglewood city,33.95607,-118.34427,135.3
Lafayette city,37.891,-122.11953,291.5
Laguna Beach city,33.54337,-117.7618,513.7
Los Gatos town,37.22991,-121.95681,362.7
Milpitas city,37.43314,-121.89092,33.6
Oceanside city,33.2246,-117.30629,260.3
Rancho Palos Verdes city,33.73852,-118.36969,110.9
Rocklin city,38.80687,-121.2497,378.8
South Pasadena city,34.10896,-118.15662,627.9
Stockton city,37.97724,-121.30886,11.2
San Buenaventura (Ventura) city,34.26778,-119.25421,100.3
Woodside town,37.42215,-122.25859,457.4
Breckenridge town,39.49946,-106.04324,9592.3
Crested Butte town,38.86779,-106.97726,8864.7
Evergreen CDP,39.63561,-105.33809,7227.4
Frisco town,39.57848,-106.09097,9023.6
Highlands Ranch CDP,39.54083,-104.97108,5834.1
Parker town,39.50595,-104.77583,5846.6
Madison Center CDP,41.28022,-72.60227,25.7
Boynton Beach city,26.52833,-80.08072,12.4
Coral Springs city,26.27072,-80.2593,8.1
Naples city,26.15048,-81.7953,6.8
Alpharetta city,34.07087,-84.27265,1066.1
Deerfield village,42.16607,-87.85247,667.2
Libertyville village,42.28467,-87.9665,706.0
Northbrook village,42.12875,-87.83516,653.6
Greenwood city,39.60299,-86.1085,804.2
Noblesville city,40.0353,-86.00016,768.8
Kansas City city,39.12254,-94.74178,980.9
West Concord CDP,42.45186,-71.40318,141.6
Mapleton city,43.92714,-93.95528,1038.0
Stillwater city,45.05861,-92.83041,863.0
Woodbury city,44.90628,-92.9237,983.3
Gulfport city,30.41949,-89.06902,12.1
Missoula city,46.87436,-114.02614,3168.3
Chapel Hill town,35.92833,-79.04138,325.2
Henderson city,36.00896,-115.0268,2604.9
Dix Hills CDP,40.80332,-73.33746,183.7
Dayton city,39.78474,-84.19963,750.8
Edmond city,35.67381,-97.41308,1079.9
Tulsa city,36.12795,-95.90232,725.5
Erie city,42.11659,-80.0735,710.8
Murrysville municipality,40.44286,-79.65831,1135.3
Charleston city,32.82802,-79.9729,4.8
Columbia city,34.04052,-80.9061,323.5
Greenville city,34.8369,-82.363,963.5
Knoxville city,35.97068,-83.94927,885.8
Laredo city,27.56038,-99.48918,483.3
Mesquite city,32.75955,-96.58416,499.7
Sugar Land city,29.59276,-95.6338,68.3
Orem city,40.29807,-111.69944,4766.2
Annandale CDP,38.8328,-77.19623,352.8
Ashburn CDP,39.0273,-77.47132,246.0
Burke CDP,38.77772,-77.26259,344.4
Haymarket town,38.81217,-77.63633,366.2
Federal Way city,47.3116,-122.33776,394.7
Gig Harbor city,47.33838,-122.60075,294.2
