city,state,lat,lng,canonical_name,strategy,n_athletes
Nashville,TN,36.1718,-86.785,Nashville-Davidson metropolitan government (balance),state-starts,8
Coppell,TX,32.96331,-96.99056,Coppell city,direct,8
Milwaukee,WI,43.06335,-87.9667,Milwaukee city,direct,8
Portage,WI,43.54895,-89.46587,Portage city,direct,8
Oakland,CA,37.76985,-122.22569,Oakland city,direct,7
Redondo Beach,CA,33.84954,-118.40076,Redondo Beach city,direct,7
Santa Cruz,CA,36.97438,-122.03527,Santa Cruz city,direct,7
Torrance,CA,33.83045,-118.35662,Torrance city,direct,7
Boca Raton,FL,26.37269,-80.10371,Boca Raton city,direct,7
Jacksonville,FL,30.33686,-81.6616,Jacksonville city,direct,7
Wellington,FL,26.64899,-80.26721,Wellington village,direct,7
Boise,ID,43.60023,-116.23166,Boise City city,suffix-add:city,7
Andover,MA,42.65567,-71.14224,Andover CDP,direct,7
Midland,MI,43.6248,-84.23198,Midland city,direct,7
Morristown,NJ,40.79656,-74.47732,Morristown town,direct,7
Toledo,OH,41.66407,-83.58186,Toledo city,direct,7
Malvern,PA,40.03315,-75.51536,Malvern borough,direct,7
Fort Worth,TX,32.78195,-97.34857,Fort Worth city,direct,7
Spring,TX,30.06217,-95.38397,Spring CDP,direct,7
McLean,VA,38.94355,-77.19291,McLean CDP,direct,7
Richmond,VA,37.5314,-77.47601,Richmond city,direct,7
Vienna,VA,38.89858,-77.25832,Vienna town,direct,7
Birmingham,AL,33.52717,-86.79704,Birmingham city,direct,6
Glendale,AZ,33.53311,-112.1899,Glendale city,direct,6
Chino Hills,CA,33.94297,-117.72565,Chino Hills city,direct,6
Diamond Bar,CA,34.00157,-117.8176,Diamond Bar city,direct,6
Fresno,CA,36.78268,-119.79336,Fresno city,direct,6
Hayward,CA,37.62683,-122.10402,Hayward city,direct,6
Moorpark,CA,34.28594,-118.87704,Moorpark city,direct,6
Riverside,CA,33.93814,-117.39317,Riverside city,direct,6
Seal Beach,CA,33.7544,-118.07132,Seal Beach city,direct,6
Temecula,CA,33.49307,-117.13173,Temecula city,direct,6
Tustin,CA,33.73092,-117.8106,Tustin city,direct,6
Durango,CO,37.26539,-107.87818,Durango city,direct,6
Fort Collins,CO,40.54822,-105.06483,Fort Collins city,direct,6
Winter Park,CO,39.87847,-105.78284,Winter Park town,direct,6
Gainesville,FL,29.67954,-82.34679,Gainesville city,direct,6
Hialeah,FL,25.86994,-80.30286,Hialeah city,direct,6
Ocala,FL,29.17751,-82.15103,Ocala city,direct,6
Pembroke Pines,FL,26.01472,-80.34017,Pembroke Pines city,direct,6
Champaign,IL,40.1141,-88.27462,Champaign city,direct,6
Wichita,KS,37.69064,-97.34584,Wichita city,direct,6
Eden Prairie,MN,44.8496,-93.45872,Eden Prairie city,direct,6
Bozeman,MT,45.68315,-111.05378,Bozeman city,direct,6
Durham,NC,35.97806,-78.8995,Durham city,direct,6
Grand Forks,ND,47.9196,-97.08733,Grand Forks city,direct,6
New York City,NY,40.7128,-74.006,New York City,override,6
Pittsford,NY,43.09049,-77.51657,Pittsford village,direct,6
Spokane,WA,47.66694,-117.43332,Spokane city,direct,6
Tempe,AZ,33.38841,-111.93178,Tempe city,direct,5
Anaheim,CA,33.8555,-117.75866,Anaheim city,direct,5
Clovis,CA,36.82897,-119.68492,Clovis city,direct,5
Costa Mesa,CA,33.66591,-117.91234,Costa Mesa city,direct,5
Encinitas,CA,33.05063,-117.26362,Encinitas city,direct,5
Fallbrook,CA,33.37423,-117.22038,Fallbrook CDP,direct,5
Folsom,CA,38.6666,-121.14163,Folsom city,direct,5
Fountain Valley,CA,33.71058,-117.95113,Fountain Valley city,direct,5
Lakeside,CA,35.23467,-119.08286,Lakeside CDP,direct,5
Menlo Park,CA,37.47973,-122.14805,Menlo Park city,direct,5
Mission Viejo,CA,33.60934,-117.65647,Mission Viejo city,direct,5
