city,state,lat,lng,canonical_name,strategy,n_athletes
Alamo,CA,37.85477,-122.01356,Alamo CDP,direct,2
Apple Valley,CA,34.53338,-117.21036,Apple Valley town,direct,2
Campbell,CA,37.28024,-121.9533,Campbell city,direct,2
Carnelian Bay,CA,39.23517,-120.07821,Carnelian Bay CDP,direct,2
Cerritos,CA,33.86774,-118.06947,Cerritos city,direct,2
Claremont,CA,34.12492,-117.71392,Claremont city,direct,2
Coronado,CA,32.65763,-117.15654,Coronado city,direct,2
Danville,CA,37.81214,-121.96982,Danville town,direct,2
Dixon,CA,38.44751,-121.82422,Dixon city,direct,2
El Monte,CA,34.07463,-118.02914,El Monte city,direct,2
Elk Grove,CA,38.41462,-121.38496,Elk Grove city,direct,2
Glendora,CA,34.14496,-117.8478,Glendora city,direct,2
Hawaiian Gardens,CA,33.83048,-118.07345,Hawaiian Gardens city,direct,2
Hermosa Beach,CA,33.86982,-118.4053,Hermosa Beach city,direct,2
Highland,CA,34.11347,-117.16573,Highland city,direct,2
Isla Vista,CA,34.41218,-119.86066,Isla Vista CDP,direct,2
La Mirada,CA,33.90205,-118.00896,La Mirada city,direct,2
Lemoore,CA,36.29436,-119.79825,Lemoore city,direct,2
Loomis,CA,38.80937,-121.19547,Loomis town,direct,2
Los Alamitos,CA,33.79691,-118.06124,Los Alamitos city,direct,2
Marina,CA,36.68026,-121.78937,Marina city,direct,2
Martinez,CA,37.99812,-122.11442,Martinez city,direct,2
Modesto,CA,37.63753,-121.00305,Modesto city,direct,2
Monterey,CA,36.60119,-121.88311,Monterey city,direct,2
Mountain View,CA,38.00921,-122.11685,Mountain View CDP,direct,2
Orangevale,CA,38.68936,-121.22308,Orangevale CDP,direct,2
Orinda,CA,37.88161,-122.16859,Orinda city,direct,2
Palmdale,CA,34.59104,-118.1054,Palmdale city,direct,2
Placentia,CA,33.88116,-117.85478,Placentia city,direct,2
Pleasant Hill,CA,37.95416,-122.07577,Pleasant Hill city,direct,2
Pleasanton,CA,37.66719,-121.88123,Pleasanton city,direct,2
Poway,CA,32.98768,-117.02181,Poway city,direct,2
Rancho Santa Fe,CA,33.02581,-117.19815,Rancho Santa Fe CDP,direct,2
Redlands,CA,34.05351,-117.17048,Redlands city,direct,2
Redwood City,CA,37.51527,-122.21367,Redwood City city,direct,2
San Juan Capistrano,CA,33.50089,-117.65439,San Juan Capistrano city,direct,2
San Mateo,CA,37.56031,-122.3106,San Mateo city,direct,2
Santa Ana,CA,33.73633,-117.8829,Santa Ana city,direct,2
Santa Maria,CA,34.93308,-120.44356,Santa Maria city,direct,2
Santa Rosa,CA,38.44582,-122.70618,Santa Rosa city,direct,2
South Lake Tahoe,CA,38.92822,-119.981,South Lake Tahoe city,direct,2
Spring Valley,CA,39.07605,-122.58451,Spring Valley CDP,direct,2
Tahoe City,CA,39.14832,-120.17094,Sunnyside-Tahoe City CDP,state-contains,2
Upland,CA,34.11607,-117.65992,Upland city,direct,2
Vacaville,CA,38.35862,-121.9686,Vacaville city,direct,2
Victorville,CA,34.52773,-117.35358,Victorville city,direct,2
Villa Park,CA,33.81799,-117.81129,Villa Park city,direct,2
Visalia,CA,36.32803,-119.32852,Visalia city,direct,2
Yorba Linda,CA,33.88904,-117.77207,Yorba Linda city,direct,2
Basalt,CO,39.36859,-107.04876,Basalt town,direct,2
Broomfield,CO,39.95359,-105.05079,Broomfield city,direct,2
Castle Pines,CO,39.46249,-104.87058,Castle Pines city,direct,2
Erie,CO,40.04029,-105.03831,Erie town,direct,2
Granby,CO,40.0648,-105.91939,Granby town,direct,2
Greenwood Village,CO,39.61593,-104.91169,Greenwood Village city,direct,2
Louisville,CO,39.96958,-105.14327,Louisville city,direct,2
Monument,CO,39.07441,-104.84422,Monument town,direct,2
Westminster,CO,39.88012,-105.06151,Westminster city,direct,2
Brookfield,CT,41.46236,-73.38753,Brookfield Center CDP,state-starts,2
Glastonbury,CT,41.70067,-72.59942,Glastonbury Center CDP,state-starts,2
Milford,CT,41.22364,-73.06456,Milford city (balance),state-starts,2
Norwalk,CT,41.09274,-73.4198,Norwalk city,direct,2
Redding,CT,41.30666,-73.38302,Redding Center CDP,state-starts,2
Stratford,CT,41.19885,-73.12767,Stratford Downtown CDP,state-starts,2
Westport,CT,41.14335,-73.36025,Westport Village CDP,suffix-add:village,2
Apopka,FL,28.7017,-81.53182,Apopka city,direct,2
Cooper City,FL,26.04806,-80.28496,Cooper City city,direct,2
Daytona Beach,FL,29.19071,-81.09708,Daytona Beach city,direct,2
Deland,FL,29.02266,-81.2865,DeLand city,direct,2
Delray Beach,FL,26.4559,-80.09042,Delray Beach city,direct,2
Land O'Lakes,FL,28.20831,-82.44584,Land O' Lakes CDP,direct,2
Largo,FL,27.90591,-82.76724,Largo city,direct,2
Lehigh Acres,FL,26.61269,-81.63885,Lehigh Acres CDP,direct,2
Lighthouse Point,FL,26.27776,-80.08862,Lighthouse Point city,direct,2
Loxahatchee,FL,26.72088,-80.2772,Loxahatchee Groves town,state-starts,2
Melbourne,FL,28.11044,-80.66272,Melbourne city,direct,2
Oviedo,FL,28.66193,-81.1871,Oviedo city,direct,2
Palm Bay,FL,27.96489,-80.65828,Palm Bay city,direct,2
Palm Beach Gardens,FL,26.84879,-80.16712,Palm Beach Gardens city,direct,2
Plantation,FL,26.12557,-80.26182,Plantation city,direct,2
Sanford,FL,28.78943,-81.27562,Sanford city,direct,2
St. Augustine,FL,29.89615,-81.31113,St. Augustine city,direct,2
Wesley Chapel,FL,28.20525,-82.31711,Wesley Chapel CDP,direct,2
Bainbridge,GA,30.90621,-84.57265,Bainbridge city,direct,2
Cedartown,GA,34.02175,-85.24753,Cedartown city,direct,2
Columbus,GA,32.5102,-84.87495,Columbus city,direct,2
Dacula,GA,33.98197,-83.90108,Dacula city,direct,2
Fayetteville,GA,33.4491,-84.47282,Fayetteville city,direct,2
Hoschton,GA,34.08593,-83.7622,Hoschton city,direct,2
Kennesaw,GA,34.0272,-84.61709,Kennesaw city,direct,2
Newnan,GA,33.37967,-84.7712,Newnan city,direct,2
Peachtree City,GA,33.39189,-84.57066,Peachtree City city,direct,2
Roswell,GA,34.03945,-84.35095,Roswell city,direct,2
Suwanee,GA,34.05112,-84.06591,Suwanee city,direct,2
Ewa Beach,HI,21.31274,-158.00611,Ewa Beach CDP,direct,2
Haleiwa,HI,21.60238,-158.09564,Haleiwa CDP,direct,2
Mililani,HI,21.44651,-158.01464,Mililani Town CDP,suffix-add:town,2
Waianae,HI,21.45182,-158.18204,Waianae CDP,direct,2
Cedar Rapids,IA,41.96585,-91.6789,Cedar Rapids city,direct,2
Davenport,IA,41.55682,-90.60395,Davenport city,direct,2
Des Moines,IA,41.57259,-93.61024,Des Moines city,direct,2
Urbandale,IA,41.63679,-93.77983,Urbandale city,direct,2
Pocatello,ID,42.87275,-112.46384,Pocatello city,direct,2
Addison,IL,41.93078,-88.00899,Addison village,direct,2
Barrington,IL,42.15154,-88.12853,Barrington village,direct,2
Bartlett,IL,41.96064,-88.17775,Bartlett village,direct,2
Buffalo Grove,IL,42.16598,-87.96183,Buffalo Grove village,direct,2
Des Plaines,IL,42.0344,-87.90114,Des Plaines city,direct,2
Downers Grove,IL,41.79503,-88.02106,Downers Grove village,direct,2
Evanston,IL,42.04639,-87.69435,Evanston city,direct,2
Grayslake,IL,42.34082,-88.03356,Grayslake village,direct,2
Harwood Heights,IL,41.96632,-87.80559,Harwood Heights village,direct,2
Highland Park,IL,42.18237,-87.81085,Highland Park city,direct,2
Lakewood,IL,42.22451,-88.38669,Lakewood village,direct,2
Lincolnshire,IL,42.19652,-87.91774,Lincolnshire village,direct,2
Lisle,IL,41.79211,-88.0877,Lisle village,direct,2
Mount Prospect,IL,42.0642,-87.93736,Mount Prospect village,direct,2
Oak Lawn,IL,41.71388,-87.75278,Oak Lawn village,direct,2
Orland Park,IL,41.60815,-87.85929,Orland Park village,direct,2
Palatine,IL,42.11647,-88.04436,Palatine village,direct,2
Palos Hills,IL,41.70068,-87.8253,Palos Hills city,direct,2
Riverside,IL,41.83096,-87.81585,Riverside village,direct,2
Rock Island,IL,41.47016,-90.58311,Rock Island city,direct,2
Rockford,IL,42.25884,-89.06455,Rockford city,direct,2
Bloomington,IN,39.1637,-86.52426,Bloomington city,direct,2
Brownsburg,IN,39.83444,-86.38569,Brownsburg town,direct,2
Danville,IN,39.75881,-86.49528,Danville town,direct,2
Elkhart,IN,41.69154,-85.96225,Elkhart city,direct,2
Plainfield,IN,39.69319,-86.37198,Plainfield town,direct,2
South Bend,IN,41.67664,-86.26881,South Bend city,direct,2
Westfield,IN,40.03601,-86.15221,Westfield city,direct,2
Zionsville,IN,39.99153,-86.32175,Zionsville town,direct,2
Overland Park,KS,38.88904,-94.69058,Overland Park city,direct,2
Salina,KS,38.81309,-97.61448,Salina city,direct,2
Topeka,KS,39.03468,-95.69482,Topeka city,direct,2
Shreveport,LA,32.46688,-93.79219,Shreveport city,direct,2
Beverly,MA,42.55666,-70.84496,Beverly city,direct,2
Cambridge,MA,42.37604,-71.11868,Cambridge city,direct,2
Hanson,MA,42.06503,-70.84977,Hanson CDP,direct,2
Marblehead,MA,42.49563,-70.83582,Marblehead CDP,direct,2
Methuen,MA,42.74264,-71.17865,Methuen Town city,suffix-add:town,2
Newton,MA,42.33177,-71.2084,Newton city,direct,2
Salem,MA,42.49925,-70.8982,Salem city,direct,2
Scituate,MA,42.18029,-70.73439,Scituate CDP,direct,2
Topsfield,MA,42.6394,-70.95528,Topsfield CDP,direct,2
Waltham,MA,42.38892,-71.24227,Waltham city,direct,2
Wellesley,MA,42.30593,-71.28292,Wellesley CDP,direct,2
Worcester,MA,42.26948,-71.80778,Worcester city,direct,2
Annapolis,MD,38.97215,-76.50533,Annapolis city,direct,2
Bel Air,MD,39.58126,-78.85547,Bel Air CDP,direct,2
Brookeville,MD,39.18251,-77.05973,Brookeville town,direct,2
Cabin John,MD,38.97401,-77.16384,Cabin John CDP,direct,2
Chevy Chase,MD,38.98189,-77.0832,Chevy Chase town,direct,2
Darnestown,MD,39.08871,-77.31178,Darnestown CDP,direct,2
Gaithersburg,MD,39.1486,-77.19513,Gaithersburg city,direct,2
Huntingtown,MD,38.61235,-76.62154,Huntingtown CDP,direct,2
Mount Airy,MD,39.37469,-77.15381,Mount Airy town,direct,2
North Potomac,MD,39.09677,-77.2385,North Potomac CDP,direct,2
Silver Spring,MD,39.00244,-77.02079,Silver Spring CDP,direct,2
Upper Marlboro,MD,38.8165,-76.75367,Upper Marlboro town,direct,2
Fort Kent,ME,47.25174,-68.58722,Fort Kent CDP,direct,2
Yarmouth,ME,43.80382,-70.18858,Yarmouth CDP,direct,2
Caro,MI,43.4893,-83.40174,Caro city,direct,2
Dexter,MI,42.33226,-83.88103,Dexter city,direct,2
Farmington Hills,MI,42.48565,-83.37596,Farmington Hills city,direct,2
Flint,MI,43.02442,-83.69197,Flint city,direct,2
Grand Blanc,MI,42.93254,-83.62049,Grand Blanc city,direct,2
Grosse Pointe Park,MI,42.37395,-82.92344,Grosse Pointe Park city,direct,2
Grosse Pointe Woods,MI,42.43926,-82.89896,Grosse Pointe Woods city,direct,2
Harbor Springs,MI,45.43248,-84.9891,Harbor Springs city,direct,2
Jackson,MI,42.24216,-84.40204,Jackson city,direct,2
Novi,MI,42.47849,-83.48682,Novi city,direct,2
Rochester Hills,MI,42.66348,-83.1592,Rochester Hills city,direct,2
Andover,MN,45.25242,-93.3374,Andover city,direct,2
Apple Valley,MN,44.7453,-93.19941,Apple Valley city,direct,2
Arden Hills,MN,45.07116,-93.16547,Arden Hills city,direct,2
Bloomington,MN,44.82967,-93.31522,Bloomington city,direct,2
Brooklyn Park,MN,45.11091,-93.34909,Brooklyn Park city,direct,2
Burnsville,MN,44.76441,-93.27937,Burnsville city,direct,2
Chisholm,MN,47.48753,-92.8794,Chisholm city,direct,2
Farmington,MN,44.65916,-93.16871,Farmington city,direct,2
Maple Grove,MN,45.11276,-93.46298,Maple Grove city,direct,2
Richfield,MN,44.87435,-93.28244,Richfield city,direct,2
Savage,MN,44.75906,-93.36421,Savage city,direct,2
St Paul,MN,44.9489,-93.10406,St. Paul city,direct,2
St. Francis,MN,45.39403,-93.39412,St. Francis city,direct,2
Chesterfield,MO,38.65813,-90.57595,Chesterfield city,direct,2
Lee's Summit,MO,38.9216,-94.38476,Lee's Summit city,direct,2
Hattiesburg,MS,31.3073,-89.31743,Hattiesburg city,direct,2
Laurel,MS,31.69508,-89.14495,Laurel city,direct,2
Billings,MT,45.78854,-108.55248,Billings city,direct,2
Davidson,NC,35.48066,-80.82091,Davidson town,direct,2
Holly Springs,NC,35.65328,-78.84076,Holly Springs town,direct,2
Lewisville,NC,36.10519,-80.42455,Lewisville town,direct,2
Winston-Salem,NC,36.10286,-80.26083,Winston-Salem city,direct,2
Rolla,ND,48.84362,-99.60935,Rolla city,direct,2
Dover,NH,43.18636,-70.88362,Dover city,direct,2
Berlin,NJ,39.79206,-74.93699,Berlin borough,direct,2
Boonton,NJ,40.90382,-74.40637,Boonton town,direct,2
Clifton,NJ,40.86214,-74.16039,Clifton city,direct,2
Fair Haven,NJ,40.36194,-74.03878,Fair Haven borough,direct,2
Jersey City,NJ,40.71142,-74.06476,Jersey City city,direct,2
Livingston,NJ,40.51772,-74.44477,Rutgers University-Livingston Campus CDP,state-contains,2
Madison,NJ,40.75804,-74.41781,Madison borough,direct,2
Morganville,NJ,40.37605,-74.23261,Morganville CDP,direct,2
Princeton,NJ,40.35824,-74.66673,Princeton,direct,2
Rumson,NJ,40.36207,-74.00451,Rumson borough,direct,2
Spring Lake,NJ,40.15376,-74.02685,Spring Lake borough,direct,2
Voorhees,NJ,40.48218,-74.49251,Voorhees CDP,direct,2
West Long Branch,NJ,40.2879,-74.02002,West Long Branch borough,direct,2
Las Cruces,NM,32.32644,-106.78969,Las Cruces city,direct,2
Roswell,NM,33.37344,-104.52939,Roswell city,direct,2
Carson City,NV,39.15306,-119.74737,Carson City,direct,2
Gardnerville,NV,38.939,-119.73688,Gardnerville CDP,direct,2
Glens Falls,NY,43.31116,-73.64529,Glens Falls city,direct,2
Huntington Station,NY,40.84449,-73.40481,Huntington Station CDP,direct,2
Lewiston,NY,43.17193,-79.04067,Lewiston village,direct,2
Massapequa Park,NY,40.68091,-73.44969,Massapequa Park village,direct,2
Northport,NY,40.90405,-73.34497,Northport village,direct,2
Nyack,NY,41.09295,-73.91524,Nyack village,direct,2
Port Jervis,NY,41.37802,-74.6908,Port Jervis city,direct,2
Poughkeepsie,NY,41.69459,-73.91987,Poughkeepsie city,direct,2
Rockville Centre,NY,40.66402,-73.63805,Rockville Centre village,direct,2
Rome,NY,43.226,-75.48952,Rome city,direct,2
Saranac Lake,NY,44.32594,-74.13093,Saranac Lake village,direct,2
Staten Island,NY,40.5795,-74.1502,New York City (Staten Island),override,2
Syosset,NY,40.81568,-73.50203,Syosset CDP,direct,2
West Nyack,NY,41.09114,-73.96883,West Nyack CDP,direct,2
Beavercreek,OH,39.73315,-84.05961,Beavercreek city,direct,2
Blacklick,OH,39.9046,-82.86638,Blacklick Estates CDP,state-starts,2
Bowling Green,OH,41.37768,-83.64958,Bowling Green city,direct,2
Canton,OH,40.80765,-81.36723,Canton city,direct,2
Chagrin Falls,OH,41.43095,-81.38898,Chagrin Falls village,direct,2
Fremont,OH,41.35302,-83.11559,Fremont city,direct,2
Massillon,OH,40.78448,-81.52522,Massillon city,direct,2
New Albany,OH,40.09,-82.77635,New Albany city,direct,2
North Canton,OH,40.87415,-81.39713,North Canton city,direct,2
Springfield,OH,39.92891,-83.79424,Springfield city,direct,2
Tontogany,OH,41.42103,-83.74098,Tontogany village,direct,2
Upper Arlington,OH,40.02759,-83.07072,Upper Arlington city,direct,2
West Chester,OH,39.33521,-84.40348,Olde West Chester CDP,state-contains,2
Norman,OK,35.24057,-97.3453,Norman city,direct,2
Medford,OR,42.33689,-122.85177,Medford city,direct,2
Allentown,PA,40.59365,-75.47839,Allentown city,direct,2
Cochranville,PA,39.88861,-75.92981,Cochranville CDP,direct,2
Denver,PA,40.23412,-76.14116,Denver borough,direct,2
Greensburg,PA,40.31115,-79.54443,Greensburg city,direct,2
Harrisburg,PA,40.27589,-76.88502,Harrisburg city,direct,2
Honey Brook,PA,40.09358,-75.91075,Honey Brook borough,direct,2
Lititz,PA,40.154,-76.30431,Lititz borough,direct,2
Macungie,PA,40.51591,-75.55408,Macungie borough,direct,2
Millersville,PA,40.00532,-76.35176,Millersville borough,direct,2
Phoenixville,PA,40.1352,-75.5227,Phoenixville borough,direct,2
Plymouth Meeting,PA,40.10973,-75.28037,Plymouth Meeting CDP,direct,2
Reading,PA,40.33922,-75.92628,Reading city,direct,2
Schwenksville,PA,40.25786,-75.46572,Schwenksville borough,direct,2
Slippery Rock,PA,41.06949,-80.05793,Slippery Rock borough,direct,2
Stevens,PA,40.21651,-76.16689,Stevens CDP,direct,2
Topton,PA,40.50337,-75.70254,Topton borough,direct,2
York,PA,39.9648,-76.73184,York city,direct,2
Aiken,SC,33.53159,-81.72507,Aiken city,direct,2
Beaufort,SC,32.45808,-80.72254,Beaufort city,direct,2
Irmo,SC,34.10212,-81.19585,Irmo town,direct,2
Simpsonville,SC,34.72903,-82.25752,Simpsonville city,direct,2
Sioux Falls,SD,43.5407,-96.73196,Sioux Falls city,direct,2
Yankton,SD,42.88975,-97.39269,Yankton city,direct,2
Chattanooga,TN,35.06596,-85.24839,Chattanooga city,direct,2
Clarksville,TN,36.56643,-87.34522,Clarksville city,direct,2
Memphis,TN,35.10903,-89.96746,Memphis city,direct,2
Abilene,TX,32.45451,-99.73815,Abilene city,direct,2
Burleson,TX,32.51645,-97.32737,Burleson city,direct,2
Conroe,TX,30.32872,-95.4846,Conroe city,direct,2
Denton,TX,33.21745,-97.14135,Denton city,direct,2
Duncanville,TX,32.64595,-96.91387,Duncanville city,direct,2
Frisco,TX,33.15543,-96.8226,Frisco city,direct,2
Humble,TX,29.98821,-95.26436,Humble city,direct,2
Irving,TX,32.85775,-96.97002,Irving city,direct,2
Katy,TX,29.79091,-95.84071,Katy city,direct,2
Killeen,TX,31.07767,-97.73195,Killeen city,direct,2
Mansfield,TX,32.56919,-97.12053,Mansfield city,direct,2
Missouri City,TX,29.56294,-95.536,Missouri City city,direct,2
Port Arthur,TX,29.90001,-93.89442,Port Arthur city,direct,2
Richardson,TX,32.97229,-96.70807,Richardson city,direct,2
Tomball,TX,30.09508,-95.61968,Tomball city,direct,2
Waco,TX,31.55799,-97.18975,Waco city,direct,2
Weatherford,TX,32.75319,-97.77194,Weatherford city,direct,2
Wylie,TX,33.03583,-96.52019,Wylie city,direct,2
Alpine,UT,40.46295,-111.77244,Alpine city,direct,2
American Fork,UT,40.37788,-111.79507,American Fork city,direct,2
Herndon,VA,38.97041,-77.38707,Herndon town,direct,2
Manassas,VA,38.74681,-77.48263,Manassas city,direct,2
Palmyra,VA,37.86637,-78.25759,Palmyra CDP,direct,2
Reston,VA,38.94976,-77.34624,Reston CDP,direct,2
Winchester,VA,39.17387,-78.17636,Winchester city,direct,2
Burlington,VT,44.49193,-73.23888,Burlington city,direct,2
Morrisville,VT,44.55723,-72.58997,Morrisville village,direct,2
Putney,VT,42.97132,-72.5277,Putney CDP,direct,2
Rutland,VT,43.60967,-72.97779,Rutland city,direct,2
Westford,VT,44.60332,-73.01599,Westford CDP,direct,2
Bellevue,WA,47.59784,-122.15648,Bellevue city,direct,2
Burien,WA,47.47561,-122.34466,Burien city,direct,2
Everett,WA,47.96541,-122.1899,Everett city,direct,2
Issaquah,WA,47.54449,-122.04909,Issaquah city,direct,2
Kent,WA,47.38797,-122.21273,Kent city,direct,2
Kirkland,WA,47.69666,-122.20417,Kirkland city,direct,2
Lake Stevens,WA,48.00341,-122.09683,Lake Stevens city,direct,2
Sammamish,WA,47.59427,-122.03808,Sammamish city,direct,2
Spokane Valley,WA,47.66335,-117.23278,Spokane Valley city,direct,2
University Place,WA,47.21537,-122.54726,University Place city,direct,2
Wenatchee,WA,47.43599,-120.32927,Wenatchee city,direct,2
Woodinville,WA,47.75769,-122.14679,Woodinville city,direct,2
East Troy,WI,42.78518,-88.39557,East Troy village,direct,2
Fond du Lac,WI,43.77218,-88.44026,Fond du Lac city,direct,2
Hartland,WI,43.10235,-88.33559,Hartland village,direct,2
Kenosha,WI,42.58753,-87.88,Kenosha city,direct,2
Kewaunee,WI,44.46357,-87.5217,Kewaunee city,direct,2
Medford,WI,45.13563,-90.34247,Medford city,direct,2
Oshkosh,WI,44.02317,-88.56226,Oshkosh city,direct,2
Stevens Point,WI,44.5253,-89.55038,Stevens Point city,direct,2
Verona,WI,42.99006,-89.53887,Verona city,direct,2
Wausau,WI,44.96177,-89.64654,Wausau city,direct,2
Alta,WY,43.77362,-111.03126,Alta CDP,direct,2
Homer,AK,59.6475,-151.51309,Homer city,direct,1
Kenai,AK,60.56224,-151.20806,Kenai city,direct,1
Kotzebue,AK,66.87709,-162.50348,Kotzebue city,direct,1
Seward,AK,60.12479,-149.39158,Seward city,direct,1
Wasilla,AK,61.58114,-149.46079,Wasilla city,direct,1
Anniston,AL,33.67347,-85.81089,Anniston city,direct,1
Auburn,AL,32.60781,-85.49475,Auburn city,direct,1
Eclectic,AL,32.64022,-86.04106,Eclectic town,direct,1
Gadsden,AL,34.0066,-86.01608,Gadsden city,direct,1
Homewood,AL,33.45855,-86.80965,Homewood city,direct,1
Lanett,AL,32.85865,-85.20779,Lanett city,direct,1
Madison,AL,34.71053,-86.76228,Madison city,direct,1
Opelika,AL,32.66074,-85.37889,Opelika city,direct,1
Phenix City,AL,32.45371,-85.03102,Phenix City city,direct,1
Prattville,AL,32.44904,-86.4494,Prattville city,direct,1
Riverside,AL,33.61639,-86.20436,Riverside city,direct,1
Trussville,AL,33.65523,-86.56324,Trussville city,direct,1
Cabot,AR,34.97511,-92.02829,Cabot city,direct,1
Mayflower,AR,34.9662,-92.42673,Mayflower city,direct,1
North Little Rock,AR,34.78175,-92.23506,North Little Rock city,direct,1
Oakland,AR,36.46042,-92.57177,Oakland CDP,direct,1
Russellville,AR,35.27633,-93.13874,Russellville city,direct,1
Searcy,AR,35.24113,-91.73522,Searcy city,direct,1
Wooster,AR,35.19992,-92.4502,Wooster town,direct,1
Fountain Hills,AZ,33.6078,-111.7384,Fountain Hills town,direct,1
Maricopa,AZ,33.04194,-111.99926,Maricopa city,direct,1
Peoria,AZ,33.78619,-112.30804,Peoria city,direct,1
Prescott,AZ,34.59224,-112.44673,Prescott city,direct,1
Prescott Valley,AZ,34.59793,-112.3185,Prescott Valley town,direct,1
Snowflake,AZ,34.52146,-110.09118,Snowflake town,direct,1
Surprise,AZ,33.6708,-112.45255,Surprise city,direct,1
Albany,CA,37.89065,-122.31812,Albany city,direct,1
Alhambra,CA,34.08357,-118.13644,Alhambra city,direct,1
Aliso Viejo,CA,33.57921,-117.7289,Aliso Viejo city,direct,1
Anderson,CA,40.44976,-122.29507,Anderson city,direct,1
Antelope,CA,38.71533,-121.36096,Antelope CDP,direct,1
Antioch,CA,37.97834,-121.79606,Antioch city,direct,1
Arroyo Grande,CA,35.12415,-120.58453,Arroyo Grande city,direct,1
Auburn,CA,38.89507,-121.07674,Auburn city,direct,1
Barstow,CA,34.86699,-117.04304,Barstow city,direct,1
Bellflower,CA,33.88782,-118.12725,Bellflower city,direct,1
Belmont,CA,37.5144,-122.29448,Belmont city,direct,1
Berkeley,CA,37.86567,-122.29873,Berkeley city,direct,1
Big Bear Lake,CA,34.24289,-116.89389,Big Bear Lake city,direct,1
Boulder Creek,CA,37.1341,-122.12721,Boulder Creek CDP,direct,1
Brea,CA,33.92518,-117.86511,Brea city,direct,1
Brentwood,CA,37.93558,-121.71897,Brentwood city,direct,1
Brisbane,CA,37.67575,-122.3833,Brisbane city,direct,1
Buena Park,CA,33.85735,-118.00737,Buena Park city,direct,1
Burbank,CA,34.19008,-118.3264,Burbank city,direct,1
Castaic,CA,34.47744,-118.63268,Castaic CDP,direct,1
Castro Valley,CA,37.70828,-122.06277,Castro Valley CDP,direct,1
Ceres,CA,37.59879,-120.96808,Ceres city,direct,1
Chico,CA,39.75895,-121.81772,Chico city,direct,1
China,CA,35.64002,-117.76646,China Lake Acres CDP,state-starts,1
Chino,CA,33.97804,-117.65772,Chino city,direct,1
Coachella,CA,33.69038,-116.14313,Coachella city,direct,1
Colton,CA,34.05452,-117.32503,Colton city,direct,1
Compton,CA,33.89405,-118.22747,Compton city,direct,1
Coto De Caza,CA,33.59704,-117.58648,Coto de Caza CDP,direct,1
Coto de Caza,CA,33.59704,-117.58648,Coto de Caza CDP,direct,1
Culver City,CA,34.00582,-118.39678,Culver City city,direct,1
Cupertino,CA,37.3194,-122.04496,Cupertino city,direct,1
Dana Point,CA,33.47545,-117.69309,Dana Point city,direct,1
Del Mar,CA,32.96395,-117.2598,Del Mar city,direct,1
Delano,CA,35.76643,-119.26422,Delano city,direct,1
Desert Hot Springs,CA,33.95759,-116.54228,Desert Hot Springs city,direct,1
East Los Angeles,CA,34.03151,-118.16857,East Los Angeles CDP,direct,1
East Palo Alto,CA,37.46778,-122.13255,East Palo Alto city,direct,1
El Cerrito,CA,37.91957,-122.30252,El Cerrito city,direct,1
El Dorado Hills,CA,38.67608,-121.0477,El Dorado Hills CDP,direct,1
Escondido,CA,33.13305,-117.07404,Escondido city,direct,1
Fairfield,CA,38.26206,-122.03239,Fairfield city,direct,1
Garden Grove,CA,33.77878,-117.96047,Garden Grove city,direct,1
Gilroy,CA,37.00641,-121.58532,Gilroy city,direct,1
Glendale,CA,34.18139,-118.24583,Glendale city,direct,1
Goleta,CA,34.43544,-119.85895,Goleta city,direct,1
Granite Bay,CA,38.76044,-121.1682,Granite Bay CDP,direct,1
Grass Valley,CA,39.22031,-121.05265,Grass Valley city,direct,1
Groveland,CA,37.83197,-120.24158,Groveland CDP,direct,1
Hesperia,CA,34.39704,-117.3152,Hesperia city,direct,1
Kentfield,CA,37.93587,-122.559,Kentfield CDP,direct,1
La Puente,CA,34.03233,-117.95352,La Puente city,direct,1
Laguna Niguel,CA,33.52865,-117.70125,Laguna Niguel city,direct,1
Lakewood,CA,33.84714,-118.12189,Lakewood city,direct,1
Lancaster,CA,34.69356,-118.1753,Lancaster city,direct,1
Lemon Grove,CA,32.73307,-117.03441,Lemon Grove city,direct,1
Los Altos,CA,37.36843,-122.09657,Los Altos city,direct,1
Menifee,CA,33.68986,-117.18438,Menifee city,direct,1
Miranda,CA,40.22869,-123.81758,Miranda CDP,direct,1
Monrovia,CA,34.16398,-117.98465,Monrovia city,direct,1
Monte Sereno,CA,37.24041,-121.98824,Monte Sereno city,direct,1
Mount Shasta,CA,41.32088,-122.31548,Mount Shasta city,direct,1
Napa,CA,38.29787,-122.30074,Napa city,direct,1
National City,CA,32.66586,-117.09736,National City city,direct,1
Nevada City,CA,39.25961,-121.03333,Nevada City city,direct,1
Newark,CA,37.50425,-122.03191,Newark city,direct,1
Norco,CA,33.92552,-117.55196,Norco city,direct,1
North Tustin,CA,33.76354,-117.79472,North Tustin CDP,direct,1
Ontario,CA,34.03765,-117.60443,Ontario city,direct,1
Palm Desert,CA,33.73763,-116.36414,Palm Desert city,direct,1
Palm Springs,CA,33.80336,-116.53828,Palm Springs city,direct,1
Palos Verdes,CA,33.77427,-118.42575,Palos Verdes Estates city,state-starts,1
Palos Verdes Estates,CA,33.77427,-118.42575,Palos Verdes Estates city,direct,1
Patterson,CA,37.47588,-121.15388,Patterson city,direct,1
Perris,CA,33.78985,-117.22217,Perris city,direct,1
Petaluma,CA,38.24225,-122.62877,Petaluma city,direct,1
Phelan,CA,34.43982,-117.52483,Phelan CDP,direct,1
